Actor,Gender,Year,Film,Role,Notes,justification,primary_genre,nationalist_sentiments,justification_from_genre,primary_genre_final
Deepika Padukone,Female,2006,Aishwarya,Aishwarya Pai,Kannada film,Romantic drama where love story drives the narrative,Romance,no,Deepika Padukone's romantic drama where love story drives the narrative,Romance
Deepika Padukone,Female,2007,Om Shanti Om,"Shantipriya / Sandhya ""Sandy""",,Romantic reincarnation drama with film industry backdrop,Romance,no,Deepika Padukone's romantic reincarnation drama with film industry backdrop,Romance
Deepika Padukone,Female,2008,Bachna Ae Haseeno,Gayatri Jakhar,,Romantic comedy about playboy's journey through different relationships,Romance,no,Deepika Padukone's romantic comedy about playboy's journey through different relationships,Romance
Deepika Padukone,Female,2009,Chandni Chowk to China,Sakhi Godbole / Suzy,,Action comedy with martial arts and adventure elements,Action/Adventure,no,Deepika Padukone's action comedy with martial arts and adventure elements,Action/Adventure
Deepika Padukone,Female,2009,Love Aaj Kal,Meera Pandit,,Romantic comedy comparing love across generations with humor,Romance,no,Deepika Padukone's romantic comedy comparing love across generations with humor,Romance
Deepika Padukone,Female,2010,Karthik Calling Karthik,Shonali Mukherjee,,Psychological thriller about identity and mystery with suspense,Thriller/Crime,no,Deepika Padukone's psychological thriller about identity and mystery with suspense,Thriller/Crime
Deepika Padukone,Female,2010,Housefull,"Saundarya ""Sandy"" Rao",,Comedy featuring ensemble cast in humorous misunderstanding situations,Comedy,no,Deepika Padukone's comedy featuring ensemble cast in humorous misunderstanding situations,Comedy
Deepika Padukone,Female,2010,Lafangey Parindey,Pinky Palkar,,Romantic drama about blind girl and street fighter with love story,Romance,no,Deepika Padukone's romantic drama about blind girl and street fighter with love story,Romance
Deepika Padukone,Female,2010,Break Ke Baad,Aaliyah Khan,,Romantic comedy about relationship break with love and humor,Romance,no,Deepika Padukone's romantic comedy about relationship break with love and humor,Romance
Deepika Padukone,Female,2010,Khelein Hum Jee Jaan Sey,Kalpana Datta,,Historical action drama about freedom fighters with battle sequences,Action/Adventure,yes,Deepika Padukone's historical action drama about freedom fighters with battle sequences,Action/Adventure
Deepika Padukone,Female,2011,Aarakshan,Purvi Anand,,Drama about reservation system with serious social themes,Drama/Serious,no,Deepika Padukone's drama about reservation system with serious social themes,Drama/Serious
Deepika Padukone,Female,2011,Desi Boyz,Radhika Awasthi,,Comedy about friends becoming male escorts with humorous situations,Comedy,no,Deepika Padukone's comedy about friends becoming male escorts with humorous situations,Comedy
Deepika Padukone,Female,2012,Cocktail,Veronica Malaney,,Romantic drama about love triangle with emotional complications,Romance,no,Deepika Padukone's romantic drama about love triangle with emotional complications,Romance
Deepika Padukone,Female,2013,Race 2,Alina Malik,,Action thriller sequel with heists and spectacular stunts,Action/Adventure,no,Deepika Padukone's action thriller sequel with heists and spectacular stunts,Thriller/Crime
Deepika Padukone,Female,2013,Yeh Jawaani Hai Deewani,Naina Talwar,,Romantic comedy about friendship and love with travel backdrop,Romance,no,Deepika Padukone's romantic comedy about friendship and love with travel backdrop,Romance
Deepika Padukone,Female,2013,Chennai Express,"Meenalochni ""Meenamma"" Azhagusundaram",,Action comedy with romance and humor in South Indian setting,Romance,no,Deepika Padukone's action comedy with romance and humor in South Indian setting,Comedy
Deepika Padukone,Female,2013,Goliyon Ki Raasleela Ram-Leela,Leela Sanera,,Romantic tragedy about star-crossed lovers with passionate love story,Romance,no,Deepika Padukone's romantic tragedy about star-crossed lovers with passionate love story,Romance
Deepika Padukone,Female,2014,Kochadaiiyaan,Vadhana Devi,Tamil film,Action drama with motion capture technology and fight sequences,Action/Adventure,no,Deepika Padukone's action drama with motion capture technology and fight sequences,Action/Adventure
Deepika Padukone,Female,2014,Finding Fanny,"Angelina ""Angie"" Eucharistica",English film,Comedy about searching for lost love with humor,Comedy,no,Deepika Padukone's comedy about searching for lost love with humor,Comedy
Deepika Padukone,Female,2014,Happy New Year,Mohini Joshi,,Heist comedy about diamond theft with dance and humor elements,Comedy,no,Deepika Padukone's heist comedy about diamond theft with dance and humor elements,Comedy
